"","Date of Payment","Expense type","Expense Area","Supplier","Transaction Number","Amount","Department and Entity"
"591",2013-08-05,"MATERIALS & SPARES","FUSION","FTI LTD",5100292162,1144.45,"United Kingdom Atomic Energy Authority"
"592",2013-08-12,"STATIONERY","FUSION","FULTON PAPER",5100292399,2200,"United Kingdom Atomic Energy Authority"
"593",2013-08-01,"PROFESSIONAL SUBSCRIPTION","FUSION","FuseNET Association",1900058589,2610.51,"United Kingdom Atomic Energy Authority"
"594",2013-08-01,"RAW MATERIALS & CONSUMABLES","FUSION","Future Metals Uk",1900058592,812.52,"United Kingdom Atomic Energy Authority"
"595",2013-08-06,"CONFERENCES/MEETINGS","SUPPORT SERVICES","General Atomics",1900058615,1073.23,"United Kingdom Atomic Energy Authority"
"596",2013-08-14,"PROFESSIONAL SERVICES","FUSION","GLANVILLE CONSULTANTS",5100292608,80.14,"United Kingdom Atomic Energy Authority"
"597",2013-08-12,"PROFESSIONAL SERVICES","FUSION","GLANVILLE CONSULTANTS",5100292396,367.79,"United Kingdom Atomic Energy Authority"
"598",2013-08-14,"PROFESSIONAL SERVICES","FUSION","GLANVILLE CONSULTANTS",5100292392,368.36,"United Kingdom Atomic Energy Authority"
"599",2013-08-14,"PROFESSIONAL SERVICES","FUSION","GLANVILLE CONSULTANTS",5100292395,463.7,"United Kingdom Atomic Energy Authority"
"600",2013-08-14,"PLANT & EQUIPMENT","FUSION","GOODFELLOW CAMBRIDGE LTD",5100291816,193,"United Kingdom Atomic Energy Authority"
"601",2013-07-29,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100292020,-30,"United Kingdom Atomic Energy Authority"
"602",2013-07-29,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100292021,-30,"United Kingdom Atomic Energy Authority"
"603",2013-08-12,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100292471,-30,"United Kingdom Atomic Energy Authority"
"604",2013-08-12,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100291916,145,"United Kingdom Atomic Energy Authority"
"605",2013-07-29,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100289990,187.31,"United Kingdom Atomic Energy Authority"
"606",2013-07-29,"MATERIALS & SPARES","FUSION","GOODMAND STEEL SERVICES LTD",5100291487,329.9,"United Kingdom Atomic Energy Authority"
"607",2013-08-12,"INSURANCE","SUPPORT SERVICES","GROUPAMA INSURANCE COMPANY LTD",5100292252,6468.72,"United Kingdom Atomic Energy Authority"
"608",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291671,43.96,"United Kingdom Atomic Energy Authority"
"609",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291672,43.96,"United Kingdom Atomic Energy Authority"
"610",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291674,77.4,"United Kingdom Atomic Energy Authority"
"611",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291673,87.92,"United Kingdom Atomic Energy Authority"
"612",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292638,118.65,"United Kingdom Atomic Energy Authority"
"613",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292646,118.65,"United Kingdom Atomic Energy Authority"
"614",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292641,125,"United Kingdom Atomic Energy Authority"
"615",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292642,125,"United Kingdom Atomic Energy Authority"
"616",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291667,175.84,"United Kingdom Atomic Energy Authority"
"617",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291666,181.24,"United Kingdom Atomic Energy Authority"
"618",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292645,237.3,"United Kingdom Atomic Energy Authority"
"619",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292639,267.3,"United Kingdom Atomic Energy Authority"
"620",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292640,267.3,"United Kingdom Atomic Energy Authority"
"621",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291663,297.56,"United Kingdom Atomic Energy Authority"
"622",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292397,297.6,"United Kingdom Atomic Energy Authority"
"623",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292644,474.6,"United Kingdom Atomic Energy Authority"
"624",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291665,680.8,"United Kingdom Atomic Energy Authority"
"625",2013-08-12,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100291664,803.55,"United Kingdom Atomic Energy Authority"
"626",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","GRUNDON WASTE MANAGEMENT LTD",5100292637,813.9,"United Kingdom Atomic Energy Authority"
"627",2013-07-29,"PROFESSIONAL SERVICES","FUSION","Gyrobot Ltd",1900058559,138.27,"United Kingdom Atomic Energy Authority"
"628",2013-08-07,"PLANT SPARES","FUSION","HARDMETAL ENG CORNWALL LTD",5100292342,49.27,"United Kingdom Atomic Energy Authority"
"629",2013-08-07,"PLANT SPARES","FUSION","HARDMETAL ENG CORNWALL LTD",5100292341,3013.65,"United Kingdom Atomic Energy Authority"
"630",2013-08-05,"TAXIS","FUSION","HAROLDS CARS",5100292241,5593.51,"United Kingdom Atomic Energy Authority"
"631",2013-07-29,"PROFESSIONAL SERVICES","SUPPORT SERVICES","HAY GROUP",5100291944,1700,"United Kingdom Atomic Energy Authority"
"632",2013-08-19,"DESIGN & CONSTRUCTION","PROPERTY","HILLMOORE FIRE PROTECTION LIMITED",5100292662,6164.98,"United Kingdom Atomic Energy Authority"
"633",2013-07-29,"PLANT SPARES","FUSION","HILTI GB LTD",5100291622,-125,"United Kingdom Atomic Energy Authority"
"634",2013-07-29,"PLANT SPARES","FUSION","HILTI GB LTD",5100291564,22.5,"United Kingdom Atomic Energy Authority"
"635",2013-08-07,"PLANT SPARES","FUSION","HILTI GB LTD",5100292159,80.99,"United Kingdom Atomic Energy Authority"
"636",2013-07-29,"PLANT SPARES","FUSION","HILTI GB LTD",5100291435,228,"United Kingdom Atomic Energy Authority"
"637",2013-08-14,"MATERIALS & SPARES","FUSION","HOTCHKISS AIR SUPPLY",5100292307,27.5,"United Kingdom Atomic Energy Authority"
"638",2013-08-09,"CONFERENCES/MEETINGS","FUSION","Hotel Madanis",1900058649,1296.07,"United Kingdom Atomic Energy Authority"
"639",2013-08-14,"PLANT & EQUIPMENT","FUSION","HUBBS MACHINE & MFG INC",5100292105,1063.53,"United Kingdom Atomic Energy Authority"
"640",2013-07-29,"REPAIRS & MAINTENANCE","FUSION","HV Bushing Services",1900058562,2437.2,"United Kingdom Atomic Energy Authority"
"641",2013-07-31,"CLEANING","FUSION","HYDROBLAST",5100291749,210,"United Kingdom Atomic Energy Authority"
"642",2013-08-12,"CLEANING","FUSION","HYDROBLAST",5100292335,1135,"United Kingdom Atomic Energy Authority"
"643",2013-08-12,"PROFESSIONAL SERVICES","FUSION","HYTEC ELECTRONICS LTD",5100292280,591.44,"United Kingdom Atomic Energy Authority"
"644",2013-08-05,"PROFESSIONAL SERVICES","SUPPORT SERVICES","IET SERVICES LIMITED",5100292090,2000,"United Kingdom Atomic Energy Authority"
"645",2013-07-29,"SOFTWARE","FUSION","IGE+XAO LTD",5100291898,823.41,"United Kingdom Atomic Energy Authority"
"646",2013-08-12,"UNIVERSITY PLACEMENT","FUSION","IMPERIAL COLLEGE",5100292253,4094,"United Kingdom Atomic Energy Authority"
"647",2013-08-05,"SITE SUPPORT SERVICES","PROPERTY","INFOCASH LTD",5100292247,100,"United Kingdom Atomic Energy Authority"
"648",2013-08-19,"SITE SUPPORT SERVICES","PROPERTY","INFOCASH LTD",5100292581,100,"United Kingdom Atomic Energy Authority"
"649",2013-08-19,"PLANT & EQUIPMENT","FUSION","INSIGHT DIRECT LTD",5100292548,1150.9,"United Kingdom Atomic Energy Authority"
"650",2013-07-29,"PLANT & EQUIPMENT","FUSION","INSIGHT DIRECT LTD",5100291802,2146.8,"United Kingdom Atomic Energy Authority"
"651",2013-08-09,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058643,17.7,"United Kingdom Atomic Energy Authority"
"652",2013-08-09,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058644,23.88,"United Kingdom Atomic Energy Authority"
"653",2013-08-20,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058684,30.65,"United Kingdom Atomic Energy Authority"
"654",2013-07-30,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058566,46.4,"United Kingdom Atomic Energy Authority"
"655",2013-07-30,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058567,51.2,"United Kingdom Atomic Energy Authority"
"656",2013-08-06,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058605,68.6,"United Kingdom Atomic Energy Authority"
"657",2013-07-31,"INTERVIEW EXPENSES","FUSION","INTERVIEW EXPENSES",1900058584,232.3,"United Kingdom Atomic Energy Authority"
"658",2013-08-12,"PUBLICATIONS","FUSION","IOP PUBLISHING LTD",5100292305,545,"United Kingdom Atomic Energy Authority"
"659",2013-08-12,"MATERIALS & SPARES","FUSION","IS RAYFAST LTD",5100292458,83.92,"United Kingdom Atomic Energy Authority"
"660",2013-08-21,"MATERIALS & SPARES","FUSION","IS RAYFAST LTD",5100292527,100.45,"United Kingdom Atomic Energy Authority"
"661",2013-08-21,"MATERIALS & SPARES","FUSION","IS RAYFAST LTD",5100292668,105.82,"United Kingdom Atomic Energy Authority"
"662",2013-08-21,"MATERIALS & SPARES","FUSION","IS RAYFAST LTD",5100292626,995.2,"United Kingdom Atomic Energy Authority"
"663",2013-08-12,"TRAINING COSTS","FUSION","ISIS TRAINING SERVICES LTD",5100292358,251,"United Kingdom Atomic Energy Authority"
"664",2013-08-05,"TRAINING COSTS","FUSION","ISIS TRAINING SERVICES LTD",5100292163,292,"United Kingdom Atomic Energy Authority"
"665",2013-07-31,"SECONDED STAFF","FUSION","IST",5100291301,42155.05,"United Kingdom Atomic Energy Authority"
"666",2013-08-14,"MATERIALS & SPARES","FUSION","JAC TOOLS LTD",5100292251,99.34,"United Kingdom Atomic Energy Authority"
"667",2013-08-19,"PROFESSIONAL SERVICES","FUSION","KEMP & KEMP",5100292614,390,"United Kingdom Atomic Energy Authority"
"668",2013-08-21,"PROFESSIONAL SERVICES","PROPERTY","KEMP & KEMP",5100292233,1200,"United Kingdom Atomic Energy Authority"
"669",2013-08-19,"PROFESSIONAL SERVICES","PROPERTY","KEMP & KEMP",5100292619,4769.5,"United Kingdom Atomic Energy Authority"
"670",2013-08-05,"PLANT & EQUIPMENT","FUSION","KENNAMETAL SINTEC",5100292122,1315.15,"United Kingdom Atomic Energy Authority"
"671",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292351,80,"United Kingdom Atomic Energy Authority"
"672",2013-07-29,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100291885,80,"United Kingdom Atomic Energy Authority"
"673",2013-07-29,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100291886,112,"United Kingdom Atomic Energy Authority"
"674",2013-07-29,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100291887,112,"United Kingdom Atomic Energy Authority"
"675",2013-08-19,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292625,160,"United Kingdom Atomic Energy Authority"
"676",2013-07-29,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100291888,176,"United Kingdom Atomic Energy Authority"
"677",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292349,176,"United Kingdom Atomic Energy Authority"
"678",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292345,368,"United Kingdom Atomic Energy Authority"
"679",2013-08-19,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292624,464,"United Kingdom Atomic Energy Authority"
"680",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292346,752,"United Kingdom Atomic Energy Authority"
"681",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292353,880,"United Kingdom Atomic Energy Authority"
"682",2013-08-12,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292355,1072,"United Kingdom Atomic Energy Authority"
"683",2013-07-29,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100291890,1472,"United Kingdom Atomic Energy Authority"
"684",2013-08-19,"COMPENSATION AND LEGAL FEES","SUPPORT SERVICES","KEOGHS",5100292655,1616,"United Kingdom Atomic Energy Authority"
"685",2013-08-21,"MATERIALS & SPARES","FUSION","KEY INDUSTRIAL EQUIPMENT LTD",5100292750,66.5,"United Kingdom Atomic Energy Authority"
"686",2013-08-19,"MATERIALS & SPARES","FUSION","KEY INDUSTRIAL EQUIPMENT LTD",5100292551,76.85,"United Kingdom Atomic Energy Authority"
"687",2013-08-13,"TRAINING COSTS","FUSION","KIT",1900058662,344.47,"United Kingdom Atomic Energy Authority"
"688",2013-08-07,"PLANT & EQUIPMENT","FUSION","KME GERMANY AG & CO",5100291782,28518.49,"United Kingdom Atomic Energy Authority"
"689",2013-07-29,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100291957,-5183.04,"United Kingdom Atomic Energy Authority"
"690",2013-07-29,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100291960,-3231.67,"United Kingdom Atomic Energy Authority"
"691",2013-08-21,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292882,-2379.17,"United Kingdom Atomic Energy Authority"
"692",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292374,25,"United Kingdom Atomic Energy Authority"
"693",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292373,25,"United Kingdom Atomic Energy Authority"
"694",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292376,25,"United Kingdom Atomic Energy Authority"
"695",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292382,25,"United Kingdom Atomic Energy Authority"
"696",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292372,35.23,"United Kingdom Atomic Energy Authority"
"697",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292379,51.93,"United Kingdom Atomic Energy Authority"
"698",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292381,52.19,"United Kingdom Atomic Energy Authority"
"699",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292375,58,"United Kingdom Atomic Energy Authority"
"700",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292378,80.76,"United Kingdom Atomic Energy Authority"
"701",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292377,96.47,"United Kingdom Atomic Energy Authority"
"702",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292369,105.95,"United Kingdom Atomic Energy Authority"
"703",2013-08-21,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292018,112.63,"United Kingdom Atomic Energy Authority"
"704",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292383,122.61,"United Kingdom Atomic Energy Authority"
"705",2013-08-12,"BUILDING REPAIRS","FUSION","KNOWLES & SONS (OXFORD) LTD",5100292368,657.8,"United Kingdom Atomic Energy Authority"
"706",2013-08-12,"BUILDING REPAIRS","SUPPORT SERVICES","KNOWLES & SONS (OXFORD) LTD",5100292365,1296.37,"United Kingdom Atomic Energy Authority"
"707",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292364,1925,"United Kingdom Atomic Energy Authority"
"708",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292360,2712.17,"United Kingdom Atomic Energy Authority"
"709",2013-08-12,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292359,2843.73,"United Kingdom Atomic Energy Authority"
"710",2013-07-29,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100291440,8883.74,"United Kingdom Atomic Energy Authority"
"711",2013-07-29,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100291055,15714.72,"United Kingdom Atomic Energy Authority"
"712",2013-08-21,"BUILDING REPAIRS","PROPERTY","KNOWLES & SONS (OXFORD) LTD",5100292017,29285.3,"United Kingdom Atomic Energy Authority"
"713",2013-07-29,"MATERIALS & SPARES","FUSION","KURT J LESKER",5100291895,109.5,"United Kingdom Atomic Energy Authority"
"714",2013-08-07,"COMPUTER REPAIRS","FUSION","LABCENTRE ELECTRONICS LIMITED",5100292322,900,"United Kingdom Atomic Energy Authority"
"715",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292361,-1.3,"United Kingdom Atomic Energy Authority"
"716",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292363,-1.3,"United Kingdom Atomic Energy Authority"
"717",2013-08-14,"CAR HIRE","PROPERTY","LEASEDRIVE VELO",5100292611,-1.3,"United Kingdom Atomic Energy Authority"
"718",2013-07-29,"CAR HIRE","PROPERTY","LEASEDRIVE VELO",5100291927,19.97,"United Kingdom Atomic Energy Authority"
"719",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291878,30,"United Kingdom Atomic Energy Authority"
"720",2013-07-29,"CAR HIRE","SUPPORT SERVICES","LEASEDRIVE VELO",5100291925,30.68,"United Kingdom Atomic Energy Authority"
"721",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291930,32.47,"United Kingdom Atomic Energy Authority"
"722",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291929,34.39,"United Kingdom Atomic Energy Authority"
"723",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291926,34.39,"United Kingdom Atomic Energy Authority"
"724",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291928,36.44,"United Kingdom Atomic Energy Authority"
"725",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292167,36.44,"United Kingdom Atomic Energy Authority"
"726",2013-08-12,"CAR HIRE","SUPPORT SERVICES","LEASEDRIVE VELO",5100292041,36.44,"United Kingdom Atomic Energy Authority"
"727",2013-08-19,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292732,38.81,"United Kingdom Atomic Energy Authority"
"728",2013-07-29,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291931,53.44,"United Kingdom Atomic Energy Authority"
"729",2013-08-21,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292669,54.23,"United Kingdom Atomic Energy Authority"
"730",2013-08-21,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292733,57.72,"United Kingdom Atomic Energy Authority"
"731",2013-08-21,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292459,61.36,"United Kingdom Atomic Energy Authority"
"732",2013-08-12,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292286,62.31,"United Kingdom Atomic Energy Authority"
"733",2013-08-19,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292461,72.88,"United Kingdom Atomic Energy Authority"
"734",2013-08-12,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292462,72.88,"United Kingdom Atomic Energy Authority"
"735",2013-08-12,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292536,72.88,"United Kingdom Atomic Energy Authority"
"736",2013-08-14,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292054,79.51,"United Kingdom Atomic Energy Authority"
"737",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292165,88.36,"United Kingdom Atomic Energy Authority"
"738",2013-08-05,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292164,96.12,"United Kingdom Atomic Energy Authority"
"739",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100290944,102.87,"United Kingdom Atomic Energy Authority"
"740",2013-08-12,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100292460,107.73,"United Kingdom Atomic Energy Authority"
"741",2013-08-07,"CAR HIRE","SUPPORT SERVICES","LEASEDRIVE VELO",5100292166,110.82,"United Kingdom Atomic Energy Authority"
"742",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100291932,136.9,"United Kingdom Atomic Energy Authority"
"743",2013-08-21,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100290976,141.56,"United Kingdom Atomic Energy Authority"
"744",2013-08-07,"CAR HIRE","FUSION","LEASEDRIVE VELO",5100290123,148.91,"United Kingdom Atomic Energy Authority"
"745",2013-08-05,"PLANT & EQUIPMENT","FUSION","LEMO UK LTD",5100292043,183.38,"United Kingdom Atomic Energy Authority"
"746",2013-07-29,"PLANT & EQUIPMENT","FUSION","LINDAB LTD",5100291442,-44.28,"United Kingdom Atomic Energy Authority"
"747",2013-07-29,"PLANT & EQUIPMENT","FUSION","LINDAB LTD",5100291443,38.75,"United Kingdom Atomic Energy Authority"
"748",2013-07-29,"PLANT & EQUIPMENT","FUSION","LINDAB LTD",5100290599,61.03,"United Kingdom Atomic Energy Authority"
"749",2013-07-31,"MATERIALS & SPARES","FUSION","LINDE KRYOTECHNIK AG",5100291363,496.43,"United Kingdom Atomic Energy Authority"
"750",2013-08-05,"PROFESSIONAL SERVICES","SUPPORT SERVICES","LOGICA CMG UK LTD",5100292152,3063.42,"United Kingdom Atomic Energy Authority"
"751",2013-08-14,"PLANT & EQUIPMENT","FUSION","LONDON FLUID SYSTEM TECHNOLOGIES LT",5100292407,60.52,"United Kingdom Atomic Energy Authority"
"752",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292679,388.02,"United Kingdom Atomic Energy Authority"
"753",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292677,823.7,"United Kingdom Atomic Energy Authority"
"754",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292678,1889.46,"United Kingdom Atomic Energy Authority"
"755",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292684,2333.04,"United Kingdom Atomic Energy Authority"
"756",2013-08-12,"BUILDING REPAIRS","PROPERTY","LORNE STEWART PLC",5100292525,3721.03,"United Kingdom Atomic Energy Authority"
"757",2013-08-19,"BUILDING REPAIRS","PROPERTY","LORNE STEWART PLC",5100292686,4338.47,"United Kingdom Atomic Energy Authority"
"758",2013-08-19,"BUILDING REPAIRS","PROPERTY","LORNE STEWART PLC",5100292683,10340.17,"United Kingdom Atomic Energy Authority"
"759",2013-08-19,"BUILDING REPAIRS","PROPERTY","LORNE STEWART PLC",5100292687,11518.42,"United Kingdom Atomic Energy Authority"
"760",2013-08-12,"BUILDING REPAIRS","PROPERTY","LORNE STEWART PLC",5100292524,13939.81,"United Kingdom Atomic Energy Authority"
"761",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292685,17233.51,"United Kingdom Atomic Energy Authority"
"762",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292676,19454.18,"United Kingdom Atomic Energy Authority"
"763",2013-08-19,"BUILDING REPAIRS","FUSION","LORNE STEWART PLC",5100292688,29943.43,"United Kingdom Atomic Energy Authority"
"764",2013-08-05,"STATIONERY","SUPPORT SERVICES","LYRECO UK LIMITED",5100292175,0.72,"United Kingdom Atomic Energy Authority"
"765",2013-08-05,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292173,2,"United Kingdom Atomic Energy Authority"
"766",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291935,20.4,"United Kingdom Atomic Energy Authority"
"767",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291936,28.18,"United Kingdom Atomic Energy Authority"
"768",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291937,31.08,"United Kingdom Atomic Energy Authority"
"769",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291938,72.98,"United Kingdom Atomic Energy Authority"
"770",2013-08-05,"STATIONERY","SUPPORT SERVICES","LYRECO UK LIMITED",5100292174,106.23,"United Kingdom Atomic Energy Authority"
"771",2013-08-19,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292636,112.7,"United Kingdom Atomic Energy Authority"
"772",2013-08-05,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292168,123.3,"United Kingdom Atomic Energy Authority"
"773",2013-08-19,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292547,171.99,"United Kingdom Atomic Energy Authority"
"774",2013-08-19,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292635,224,"United Kingdom Atomic Energy Authority"
"775",2013-08-07,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292169,420.72,"United Kingdom Atomic Energy Authority"
"776",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291934,474.81,"United Kingdom Atomic Energy Authority"
"777",2013-07-29,"STATIONERY","FUSION","LYRECO UK LIMITED",5100291933,476.5,"United Kingdom Atomic Energy Authority"
"778",2013-08-19,"STATIONERY","FUSION","LYRECO UK LIMITED",5100292634,691.55,"United Kingdom Atomic Energy Authority"
"779",2013-08-12,"RENT OF VEHICLE & EQUIPMENT","FUSION","M.J.C SERVICES",5100292312,346.66,"United Kingdom Atomic Energy Authority"
"780",2013-08-12,"IT EQUIPMENT NON CAPITAL","FUSION","MAAINTECH",5100292347,385,"United Kingdom Atomic Energy Authority"
"781",2013-08-19,"IT EQUIPMENT NON CAPITAL","FUSION","MAAINTECH",5100292692,834,"United Kingdom Atomic Energy Authority"
"782",2013-07-29,"IT EQUIPMENT NON CAPITAL","FUSION","MAAINTECH",5100291899,2680,"United Kingdom Atomic Energy Authority"
"783",2013-08-19,"PROFESSIONAL SERVICES","FUSION","MACHINING TECHNOLOGY (MACH-TECH)",5100292690,511,"United Kingdom Atomic Energy Authority"
