"","Department","Entity","Expense Category","Expense Area","Supplier Name","Transaction Reference","Date Paid","Amount"
"637","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Ightenhill Medical Centre",15623,2011-01-24,185
"638","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Ightenhill Medical Centre",15623,2011-01-24,275
"639","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Ightenhill Medical Centre",15623,2011-01-24,445.16
"640","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Ightenhill Medical Centre",15623,2011-01-24,742.9
"641","Department of Health","NHS East Lancashire","GMS Premises Borrowing Costs incl Cost Rents","GMS","Ightenhill Medical Centre",15623,2011-01-24,1833.33
"642","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Ightenhill Medical Centre",15623,2011-01-24,2455.97
"643","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Ightenhill Medical Centre",15623,2011-01-24,3024.08
"644","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Ightenhill Medical Centre",15623,2011-01-24,11676.69
"645","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Kusum Medical Centre",15623,2011-01-24,15.02
"646","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Kusum Medical Centre",15623,2011-01-24,38.32
"647","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Kusum Medical Centre",15623,2011-01-24,45
"648","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Kusum Medical Centre",15623,2011-01-24,61.95
"649","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Kusum Medical Centre",15623,2011-01-24,64.69
"650","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Kusum Medical Centre",15623,2011-01-24,350
"651","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Kusum Medical Centre",15623,2011-01-24,427.08
"652","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Kusum Medical Centre",15623,2011-01-24,549.72
"653","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Kusum Medical Centre",15623,2011-01-24,633.65
"654","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Kusum Medical Centre",15623,2011-01-24,2083.31
"655","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Kusum Medical Centre",15623,2011-01-24,2220.06
"656","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Kusum Medical Centre",15623,2011-01-24,2375
"657","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Kusum Medical Centre",15623,2011-01-24,3749.35
"658","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Kusum Medical Centre",15623,2011-01-24,14280.22
"659","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Malik & Partners",15623,2011-01-24,8.85
"660","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Malik & Partners",15623,2011-01-24,15
"661","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","Dr Malik & Partners",15623,2011-01-24,60
"662","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Dr Malik & Partners",15623,2011-01-24,191.75
"663","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Malik & Partners",15623,2011-01-24,325
"664","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Malik & Partners",15623,2011-01-24,699.21
"665","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Dr Malik & Partners",15623,2011-01-24,2180.04
"666","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Malik & Partners",15623,2011-01-24,3594.24
"667","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Malik & Partners",15623,2011-01-24,3819.04
"668","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Malik & Partners",15623,2011-01-24,19430.62
"669","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Richmond Medical Centre",15623,2011-01-15,-14840
"670","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Richmond Medical Centre",15623,2011-01-15,29.77
"671","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Richmond Medical Centre",15623,2011-01-15,63.33
"672","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Richmond Medical Centre",15623,2011-01-15,88.5
"673","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Richmond Medical Centre",15623,2011-01-15,401.58
"674","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Richmond Medical Centre",15623,2011-01-15,466.67
"675","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Richmond Medical Centre",15623,2011-01-15,557.5
"676","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Richmond Medical Centre",15623,2011-01-15,625.69
"677","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Richmond Medical Centre",15623,2011-01-15,942.23
"678","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Richmond Medical Centre",15623,2011-01-15,1137.98
"679","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Richmond Medical Centre",15623,2011-01-15,4439.7
"680","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Richmond Medical Centre",15623,2011-01-15,6816.88
"681","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Richmond Medical Centre",15623,2011-01-15,8992.5
"682","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Richmond Medical Centre",15623,2011-01-15,35120.07
"683","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Rosegrove Surgery",15623,2011-01-15,9.92
"684","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Rosegrove Surgery",15623,2011-01-15,35.4
"685","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Rosegrove Surgery",15623,2011-01-15,70.5
"686","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Rosegrove Surgery",15623,2011-01-15,322.6
"687","Department of Health","NHS East Lancashire","PMS LES - HDSU Sterilisation of Equipment","PMS","Rosegrove Surgery",15623,2011-01-15,388.4
"688","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Rosegrove Surgery",15623,2011-01-15,425
"689","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Rosegrove Surgery",15623,2011-01-15,625
"690","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","PMS","Rosegrove Surgery",15623,2011-01-15,639.5
"691","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Rosegrove Surgery",15623,2011-01-15,676.75
"692","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Rosegrove Surgery",15623,2011-01-15,1208.33
"693","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Rosegrove Surgery",15623,2011-01-15,2549.75
"694","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Rosegrove Surgery",15623,2011-01-15,4548.79
"695","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Rosegrove Surgery",15623,2011-01-15,4627.81
"696","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Rosegrove Surgery",15623,2011-01-15,7924.42
"697","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Rosegrove Surgery",15623,2011-01-15,17856.46
"698","Department of Health","NHS East Lancashire","GMS NES - Intra Partum Care","GMS","Dr Moujaes & Partners",15623,2011-01-24,8.33
"699","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Moujaes & Partners",15623,2011-01-24,35.4
"700","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Moujaes & Partners",15623,2011-01-24,45
"701","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Dr Moujaes & Partners",15623,2011-01-24,49.61
"702","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Dr Moujaes & Partners",15623,2011-01-24,65.21
"703","Department of Health","NHS East Lancashire","GMS DES - Childhood Vaccination Scheme","GMS","Dr Moujaes & Partners",15623,2011-01-24,69.25
"704","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Dr Moujaes & Partners",15623,2011-01-24,467.92
"705","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Moujaes & Partners",15623,2011-01-24,550
"706","Department of Health","NHS East Lancashire","GP Registrar Trainer Grants","GMS","Dr Moujaes & Partners",15623,2011-01-24,639.5
"707","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Dr Moujaes & Partners",15623,2011-01-24,1500
"708","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Moujaes & Partners",15623,2011-01-24,1660.6
"709","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Dr Moujaes & Partners",15623,2011-01-24,2125
"710","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Dr Moujaes & Partners",15623,2011-01-24,2505.26
"711","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Moujaes & Partners",15623,2011-01-24,5304.42
"712","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Moujaes & Partners",15623,2011-01-24,6406.73
"713","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Moujaes & Partners",15623,2011-01-24,27510.69
"714","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Rosehill Surgery",15623,2011-01-24,7.51
"715","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Rosehill Surgery",15623,2011-01-24,8.85
"716","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Rosehill Surgery",15623,2011-01-24,37.5
"717","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Rosehill Surgery",15623,2011-01-24,49.6
"718","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Rosehill Surgery",15623,2011-01-24,70.5
"719","Department of Health","NHS East Lancashire","GMS LES - HSDU/Instrument Sterilisation","GMS","Rosehill Surgery",15623,2011-01-24,138.46
"720","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Rosehill Surgery",15623,2011-01-24,140
"721","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Rosehill Surgery",15623,2011-01-24,427.08
"722","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Rosehill Surgery",15623,2011-01-24,500
"723","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Rosehill Surgery",15623,2011-01-24,625
"724","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Rosehill Surgery",15623,2011-01-24,1326.36
"725","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Rosehill Surgery",15623,2011-01-24,2023.54
"726","Department of Health","NHS East Lancashire","GMS DES - Extended Hours","GMS","Rosehill Surgery",15623,2011-01-24,2053
"727","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Rosehill Surgery",15623,2011-01-24,4254.79
"728","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Rosehill Surgery",15623,2011-01-24,8183.56
"729","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Rosehill Surgery",15623,2011-01-24,34748.92
"730","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","The Clayton Medical Centre",15623,2011-01-15,34.17
"731","Department of Health","NHS East Lancashire","PMS LES - Human Papilloma Virus (HPV)  Incentive Scheme","PMS","The Clayton Medical Centre",15623,2011-01-15,37.61
"732","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","The Clayton Medical Centre",15623,2011-01-15,39.69
"733","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","The Clayton Medical Centre",15623,2011-01-15,44.25
"734","Department of Health","NHS East Lancashire","PMS LES - HDSU Sterilisation of Equipment","PMS","The Clayton Medical Centre",15623,2011-01-15,49.49
"735","Department of Health","NHS East Lancashire","PMS NES - Near Patient Testing","PMS","The Clayton Medical Centre",15623,2011-01-15,113.33
"736","Department of Health","NHS East Lancashire","PMS NES - Anti Coagulant Monitoring","PMS","The Clayton Medical Centre",15623,2011-01-15,125
"737","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","The Clayton Medical Centre",15623,2011-01-15,213.33
"738","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","The Clayton Medical Centre",15623,2011-01-15,355.42
"739","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","The Clayton Medical Centre",15623,2011-01-15,427.08
"740","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","The Clayton Medical Centre",15623,2011-01-15,633.42
"741","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","The Clayton Medical Centre",15623,2011-01-15,700
"742","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","The Clayton Medical Centre",15623,2011-01-15,803.92
"743","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","The Clayton Medical Centre",15623,2011-01-15,1044.67
"744","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","The Clayton Medical Centre",15623,2011-01-15,3410.45
"745","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","The Clayton Medical Centre",15623,2011-01-15,5062.67
"746","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","The Clayton Medical Centre",15623,2011-01-15,5691.85
"747","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","The Clayton Medical Centre",15623,2011-01-15,6809
"748","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","The Clayton Medical Centre",15623,2011-01-15,31967.1
"749","Department of Health","NHS East Lancashire","GMS - Adv Recd - Disp GP's","GMS","Slaidburn Health Centre",15623,2011-01-24,-12664
"750","Department of Health","NHS East Lancashire","GMS Health Centre Charges","GMS","Slaidburn Health Centre",15623,2011-01-24,-619.83
"751","Department of Health","NHS East Lancashire","GMS - Prescription Charges - Disp Drs","GMS","Slaidburn Health Centre",15623,2011-01-24,-547.2
"752","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Slaidburn Health Centre",15623,2011-01-24,7.5
"753","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Slaidburn Health Centre",15623,2011-01-24,8.55
"754","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Slaidburn Health Centre",15623,2011-01-24,17.7
"755","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","Slaidburn Health Centre",15623,2011-01-24,106.42
"756","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Slaidburn Health Centre",15623,2011-01-24,121.41
"757","Department of Health","NHS East Lancashire","GMS NES - Anti Coagulant Monitoring","GMS","Slaidburn Health Centre",15623,2011-01-24,125
"758","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Slaidburn Health Centre",15623,2011-01-24,150
"759","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Slaidburn Health Centre",15623,2011-01-24,172.97
"760","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Slaidburn Health Centre",15623,2011-01-24,250
"761","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Slaidburn Health Centre",15623,2011-01-24,427.08
"762","Department of Health","NHS East Lancashire","GMS NES - Minor Injuries Service","GMS","Slaidburn Health Centre",15623,2011-01-24,500
"763","Department of Health","NHS East Lancashire","GMS PCO - Locum Allowance Adopt Paternity Maternity","GMS","Slaidburn Health Centre",15623,2011-01-24,794.24
"764","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Slaidburn Health Centre",15623,2011-01-24,1403.07
"765","Department of Health","NHS East Lancashire","GMS Global Sum - Practice Staff Adjustments","GMS","Slaidburn Health Centre",15623,2011-01-24,2990.25
"766","Department of Health","NHS East Lancashire","GMS - Dispensing Personal Administration","GMS","Slaidburn Health Centre",15623,2011-01-24,3169.06
"767","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Slaidburn Health Centre",15623,2011-01-24,5905.34
"768","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","Slaidburn Health Centre",15623,2011-01-24,7339.12
"769","Department of Health","NHS East Lancashire","GMS - Adv Paid - Disp GP's","GMS","Slaidburn Health Centre",15623,2011-01-24,10837.65
"770","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Disp GPs","GMS","Slaidburn Health Centre",15623,2011-01-24,13149.55
"771","Department of Health","NHS East Lancashire","PMS Hazardous Consignment Fees","PMS","Colne Corner Surgery",15623,2011-01-15,17.7
"772","Department of Health","NHS East Lancashire","PMS Hazardous Container Charge","PMS","Colne Corner Surgery",15623,2011-01-15,38.61
"773","Department of Health","NHS East Lancashire","PMS LES - Start Diabetes","PMS","Colne Corner Surgery",15623,2011-01-15,40.58
"774","Department of Health","NHS East Lancashire","PMS NES - Intra Uterine Contraceptive Device","PMS","Colne Corner Surgery",15623,2011-01-15,56.67
"775","Department of Health","NHS East Lancashire","PMS Rates Water & Sewerage","PMS","Colne Corner Surgery",15623,2011-01-15,360.27
"776","Department of Health","NHS East Lancashire","PMS DES - Childhood Vaccination Scheme","PMS","Colne Corner Surgery",15623,2011-01-15,415.25
"777","Department of Health","NHS East Lancashire","PMS LES - Medicine Management","PMS","Colne Corner Surgery",15623,2011-01-15,427.08
"778","Department of Health","NHS East Lancashire","PMS DES - Influenza Immunisations","PMS","Colne Corner Surgery",15623,2011-01-15,484.17
"779","Department of Health","NHS East Lancashire","PMS DES - IM&T Developments","PMS","Colne Corner Surgery",15623,2011-01-15,669.08
"780","Department of Health","NHS East Lancashire","PMS - Non Disp Personal Administration","PMS","Colne Corner Surgery",15623,2011-01-15,747.27
"781","Department of Health","NHS East Lancashire","PMS DES - Minor Surgery","PMS","Colne Corner Surgery",15623,2011-01-15,900
"782","Department of Health","NHS East Lancashire","PMS Notional Rents","PMS","Colne Corner Surgery",15623,2011-01-15,1833.33
"783","Department of Health","NHS East Lancashire","PMS Growth - GP Locums","PMS","Colne Corner Surgery",15623,2011-01-15,2234.33
"784","Department of Health","NHS East Lancashire","PMS - Drugs and Appliances- Pres GPs","PMS","Colne Corner Surgery",15623,2011-01-15,3555.44
"785","Department of Health","NHS East Lancashire","PMS Quality Aspiration","PMS","Colne Corner Surgery",15623,2011-01-15,4091.75
"786","Department of Health","NHS East Lancashire","PMS All Other Costs including Contract","PMS","Colne Corner Surgery",15623,2011-01-15,15186.16
"787","Department of Health","NHS East Lancashire","PMS Staffing","PMS","Colne Corner Surgery",15623,2011-01-15,17132.33
"788","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dr Royle & Partners",15623,2011-01-24,7.5
"789","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dr Royle & Partners",15623,2011-01-24,8.85
"790","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Dr Royle & Partners",15623,2011-01-24,150
"791","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dr Royle & Partners",15623,2011-01-24,300
"792","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dr Royle & Partners",15623,2011-01-24,793.16
"793","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dr Royle & Partners",15623,2011-01-24,2193.77
"794","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dr Royle & Partners",15623,2011-01-24,2557.36
"795","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dr Royle & Partners",15623,2011-01-24,10390.6
"796","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","High Street Surgery",15623,2011-01-24,23.43
"797","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","High Street Surgery",15623,2011-01-24,44.25
"798","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","High Street Surgery",15623,2011-01-24,62.58
"799","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","High Street Surgery",15623,2011-01-24,131.19
"800","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","High Street Surgery",15623,2011-01-24,225
"801","Department of Health","NHS East Lancashire","GMS MPIG Correction","GMS","High Street Surgery",15623,2011-01-24,547.09
"802","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","High Street Surgery",15623,2011-01-24,633.65
"803","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","High Street Surgery",15623,2011-01-24,1312.5
"804","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","High Street Surgery",15623,2011-01-24,1894.24
"805","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","High Street Surgery",15623,2011-01-24,2090.58
"806","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","High Street Surgery",15623,2011-01-24,7714.64
"807","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","St Huberts Road Surgery",15623,2011-01-24,5
"808","Department of Health","NHS East Lancashire","GMS NES - Near Patient Testing","GMS","St Huberts Road Surgery",15623,2011-01-24,7.08
"809","Department of Health","NHS East Lancashire","GMS NES - Intra Uterine Contraceptive Device","GMS","St Huberts Road Surgery",15623,2011-01-24,33.33
"810","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","St Huberts Road Surgery",15623,2011-01-24,143.91
"811","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","St Huberts Road Surgery",15623,2011-01-24,225
"812","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","St Huberts Road Surgery",15623,2011-01-24,500
"813","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","St Huberts Road Surgery",15623,2011-01-24,513.48
"814","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","St Huberts Road Surgery",15623,2011-01-24,1041.67
"815","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","St Huberts Road Surgery",15623,2011-01-24,1791.29
"816","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","St Huberts Road Surgery",15623,2011-01-24,2541.89
"817","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","St Huberts Road Surgery",15623,2011-01-24,10565.37
"818","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,9.92
"819","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,15
"820","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,17.7
"821","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,21.33
"822","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,250
"823","Department of Health","NHS East Lancashire","GMS LES - Medicine Management","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,427.08
"824","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,611.8
"825","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,2099.38
"826","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,2872.64
"827","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Rossendale Valley Medical Practice",15623,2011-01-24,12331.42
"828","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Stone Bridge House",15623,2011-01-24,9.92
"829","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Stone Bridge House",15623,2011-01-24,15
"830","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Stone Bridge House",15623,2011-01-24,44.25
"831","Department of Health","NHS East Lancashire","GMS DES - IM&T Developments","GMS","Stone Bridge House",15623,2011-01-24,55.69
"832","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Stone Bridge House",15623,2011-01-24,250
"833","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Stone Bridge House",15623,2011-01-24,335.93
"834","Department of Health","NHS East Lancashire","GMS DES - Minor Surgery","GMS","Stone Bridge House",15623,2011-01-24,503.92
"835","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Stone Bridge House",15623,2011-01-24,546.26
"836","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Stone Bridge House",15623,2011-01-24,1583.33
"837","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Stone Bridge House",15623,2011-01-24,2548.39
"838","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Stone Bridge House",15623,2011-01-24,3035.4
"839","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Stone Bridge House",15623,2011-01-24,12620.17
"840","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","Dill Hall Surgery",15623,2011-01-24,14.89
"841","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","Dill Hall Surgery",15623,2011-01-24,15
"842","Department of Health","NHS East Lancashire","GMS Hazardous Consignment Fees","GMS","Dill Hall Surgery",15623,2011-01-24,17.7
"843","Department of Health","NHS East Lancashire","GMS LES - Human Papilloma Virus (HPV) Incentive Scheme","GMS","Dill Hall Surgery",15623,2011-01-24,45.12
"844","Department of Health","NHS East Lancashire","GMS LES - Oral Glucose Tolerance Testing","GMS","Dill Hall Surgery",15623,2011-01-24,53.42
"845","Department of Health","NHS East Lancashire","GMS Rates Water & Sewerage","GMS","Dill Hall Surgery",15623,2011-01-24,197.29
"846","Department of Health","NHS East Lancashire","GMS DES - Influenza Immunisations","GMS","Dill Hall Surgery",15623,2011-01-24,300
"847","Department of Health","NHS East Lancashire","GMS - Non Disp Personal Administration","GMS","Dill Hall Surgery",15623,2011-01-24,491.63
"848","Department of Health","NHS East Lancashire","GMS Notional Rents","GMS","Dill Hall Surgery",15623,2011-01-24,729.17
"849","Department of Health","NHS East Lancashire","GMS - Drugs and Appliances- Pres GPs","GMS","Dill Hall Surgery",15623,2011-01-24,1757.06
"850","Department of Health","NHS East Lancashire","GMS Quality Aspiration","GMS","Dill Hall Surgery",15623,2011-01-24,3131.05
"851","Department of Health","NHS East Lancashire","GMS Global Sum","GMS","Dill Hall Surgery",15623,2011-01-24,13892.18
"852","Department of Health","NHS East Lancashire","GMS PCO - Seniority","GMS","King Street Medical Centre",15623,2011-01-24,-716.22
"853","Department of Health","NHS East Lancashire","GMS DES - Pneumococcal Immunisations","GMS","King Street Medical Centre",15623,2011-01-24,14.42
"854","Department of Health","NHS East Lancashire","GMS Hazardous Containers","GMS","King Street Medical Centre",15623,2011-01-24,19.85
