"","Department","Entity","Date of Payment","Expense Type","Expense Area","Supplier","Transaction Number","Amount"
"412","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Local IT Consultancy","Corporate Support & Shared Services - Corporate Support & Shared Services","HAYS SPECIALIST RECRUITMENT LTD",4024547,2787.5
"413","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","ALLEN LANE LTD",4024548,2658
"414","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"IT Software Licences","Energy Markets & Infrastructure - Energy Development Unit","ANATEC LTD",4024552,6900
"415","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Insolvency Service Policy Work","Corporate Support & Shared Services - Corporate Support & Shared Services","DEPARTMENT FOR BUSINESS INNOVATION & SKILLS",4024553,28668
"416","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-19,"Insolvency Service Policy Work","Corporate Support & Shared Services - Corporate Support & Shared Services","DEPARTMENT FOR BUSINESS INNOVATION & SKILLS",4024553,9556
"417","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","PARITY RESOURCES LTD",4024554,18513.85
"418","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","SENERGY (GB) LTD",4024555,72644.23
"419","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024558,37615.28
"420","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024559,3000
"421","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4024560,1764.66
"422","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024563,8013.84
"423","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024564,2405.04
"424","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024565,11057.5
"425","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024566,6819.79
"426","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024567,1558.56
"427","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Energy Development Unit","GENESIS OIL & GAS CONSULTANTS LTD",4024568,4139.92
"428","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024572,10443.8
"429","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Grant in Aid - Current -Other","National Climate Change & Consumer Support - Energy Efficiency & Consumers","ELLEN MACARTHUR FOUNDATION",4024573,700
"430","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024574,2597.75
"431","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024575,64330.5
"432","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024575,136049.5
"433","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024576,81448
"434","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","HTSPE LTD",4024576,77253.38
"435","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024577,11632.6
"436","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024578,5990.43
"437","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Administration of Grants and Awards","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024579,11800
"438","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024580,4040.99
"439","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Outsourced Programme Management Services","Energy Markets & Infrastructure - Security and resilience","CROWN AGENTS",4024582,2219.03
"440","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD",4024584,2942.28
"441","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"External Legal Advice and Services","National Climate Change & Consumer Support - National Climate Change","SPEECHLY BIRCHAM LLP",4024585,15000
"442","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Salaries - Casuals (Programme)","Energy Markets & Infrastructure - DECC Commercial Team","HAYS OFFICE SUPPORT",4024586,1177.58
"443","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Consultancy Advice Provided From Third Parties","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","QUO IMUS LTD T/A QI CONSULTING",4024587,24696.4
"444","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024588,37137.38
"445","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024589,3e+05
"446","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Maintenance","Corporate Support & Shared Services - Corporate Support & Shared Services","INTERFACE EUROPE LTD",4024590,17061.8
"447","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024593,52808.69
"448","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024594,36550
"449","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Maintenance of IT Equipment","National Climate Change & Consumer Support - National Climate Change","AMTEC Consulting plc",4024595,9036.39
"450","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024596,53064
"451","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Maintenance of IT Equipment","National Climate Change & Consumer Support - National Climate Change","AMTEC Consulting plc",4024597,530.93
"452","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD",4024598,3600
"453","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Maintenance of IT Equipment","National Climate Change & Consumer Support - National Climate Change","AMTEC Consulting plc",4024599,11358.69
"454","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Maintenance of IT Equipment","National Climate Change & Consumer Support - National Climate Change","AMTEC Consulting plc",4024600,16458.76
"455","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024601,6177
"456","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024602,37030.1
"457","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024603,13825.5
"458","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Recruitment Consultancy Costs","Corporate Support & Shared Services - Corporate Support & Shared Services","INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON",4024605,3900
"459","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Grants - Current - Abroad","Energy Markets & Infrastructure - Security and resilience","NUVIA LTD",4024606,1206.02
"460","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Recruitment Consultancy Costs","Energy Markets & Infrastructure - DECC Commercial Team","CAPITA RESOURCING LTD T/A VEREDUS EXECUTIVE RESOURCING",4024607,4500
"461","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Outsourced Technical Support (Programme)","Science & Innovation Group - Science & Innovation Group","GREATER LONDON AUTHORITY",4024609,688.78
"462","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Technical Advice","Energy Markets & Infrastructure - DECC Commercial Team","NATURAL ENVIRONMENT RESEARCH COUNCIL",4024614,12878.44
"463","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-20,"Government Procurement Card New Procedures","Corporate Payments - ","BARCLAYS BANK PLC",4024615,70269.52
"464","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Research & Development Expenditure (Programme)","Energy & Climate Change International - International Climate Change Negotiations","ENERDATA",4024618,35407.53
"465","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Professional Subscriptions","Corporate Support & Shared Services - Corporate Support & Shared Services","CABINET OFFICE",4024619,780
"466","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Application Support Service","Energy Markets & Infrastructure - Energy Development Unit","PARITY RESOURCES LTD",4024620,24006
"467","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Maintenance of IT Equipment","Energy Markets & Infrastructure - Energy Development Unit","PARITY RESOURCES LTD",4024621,162679.95
"468","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Application Support Service","Energy Markets & Infrastructure - Energy Development Unit","PARITY RESOURCES LTD",4024623,13565.3
"469","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Hire of Agency Staff (Clerical/Secretariat/Other)","Energy Markets & Infrastructure - Security and resilience","BROOK STREET (UK) LTD",4024625,632.04
"470","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Research & Development Expenditure (Programme)","Energy & Climate Change International - International Energy & Carbon Budgets","UNIVERSITY OF SUSSEX",4024631,31836.1
"471","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"IT Maintenance and Management Services","Energy Markets & Infrastructure - Energy Development Unit","PARITY RESOURCES LTD",4024633,44750.65
"472","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"IT Maintenance and Management Services","Energy Markets & Infrastructure - Energy Development Unit","PARITY RESOURCES LTD",4024633,7160.52
"473","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024634,233281.58
"474","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-21,"Capital Grants to Private Sector - Not Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024634,2862346.46
"475","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Capital Grants to Private Sector - Not Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024635,463806.38
"476","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Capital Grants - Other","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024635,888071.7
"477","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"IT Maintenance and Management Services","Energy Markets & Infrastructure - Energy Development Unit","COLLABRO",4024638,18850.7
"478","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Hire of Conference Facilities (Programme)","Energy & Climate Change International - International Energy & Carbon Budgets","CHURCH HOUSE CONFERENCE CENTRE LTD",4024641,4219.8
"479","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Hire of Agency Staff (Professional/Management)","Corporate Support & Shared Services - Corporate Support & Shared Services","ALLEN LANE LTD",4024642,4887
"480","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024645,3712
"481","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024646,51944
"482","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024647,70355.17
"483","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Capital Grants to Private Sector - Own Asset Creation","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","AEA TECHNOLOGY plc",4024649,3675
"484","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Economic Consultancy & Research","National Climate Change & Consumer Support - National Climate Change","COI COMMUNICATIONS",4024657,78000
"485","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-26,"Economic Consultancy & Research","National Climate Change & Consumer Support - National Climate Change","COI COMMUNICATIONS",4024657,72060
"486","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Standard Desktop Services","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024661,7372.31
"487","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"ICT Infrastructure Specific Service (PFI)","Corporate Support & Shared Services - Corporate Support & Shared Services","FUJITSU SERVICES LTD",4024662,2280.22
"488","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Capital Grants to Private Sector - Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024672,3032176.98
"489","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Coal Provision Payments Suspense","Energy Markets & Infrastructure - Energy Development Unit","DECC COAL CENTRAL ACCOUNT",4024673,150000
"490","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,20000
"491","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,25000
"492","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,28000
"493","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,35000
"494","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,49800
"495","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,18000
"496","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,28000
"497","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,28000
"498","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Current Grants to Local Authorities","National Climate Change & Consumer Support - National Climate Change","BRISTOL CITY COUNCIL",4024678,23936
"499","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-27,"Hire of Agency Staff (Clerical/Secretariat/Other)","Corporate Support & Shared Services - Corporate Support & Shared Services","ADECCO UK LTD",4024680,648.67
"500","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Hire of Agency Staff (Professional/Management)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","MORGAN HUNT UK LTD",4024681,1411.73
"501","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Project Management Costs (Programme)","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","BUILDING RESEARCH ESTABLISHMENT LTD (BRE)",4024694,84000
"502","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Economic Consultancy & Research","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","MOTT MACDONALD LTD",4024695,30908.65
"503","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Economic Consultancy & Research","Energy Markets & Infrastructure - Office for Renewable Energy Deployment","MOTT MACDONALD LTD",4024695,10776.26
"504","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Technical Advice","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","MOTT MACDONALD LTD",4024695,26071.24
"505","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Technical Advice","Energy Markets & Infrastructure - Office of Carbon Capture and Storage","MOTT MACDONALD LTD",4024695,22039.98
"506","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Telecommunications","Corporate Support & Shared Services - Corporate Support & Shared Services","ACT TELECONFERENCING LTD",4024696,1483.28
"507","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Capital Grants - Other","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024701,5e+05
"508","Department of Energy and Climate Change","Department of Energy and Climate Change",2011-04-28,"Capital Grants to Private Sector - Own Asset Creation","National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty","EAGA PLC",4024703,8e+06
